iter	Passed	Remaining
399	44438	11109
400	44560	11001
401	44666	10888
402	44769	10775
403	44892	10667
404	45018	10559
405	45139	10450
406	45244	10338
407	45351	10226
408	45459	10114
409	45568	10002
410	45672	9890
411	45783	9778
412	45908	9670
413	46022	9560
414	46140	9450
415	46261	9341
416	46372	9229
417	46479	9117
418	46596	9007
419	46713	8897
420	46821	8786
421	46939	8675
422	47046	8564
423	47164	8454
424	47282	8343
425	47385	8231
426	47492	8119
427	47610	8009
428	47716	7897
429	47837	7787
430	47950	7676
431	48053	7563
432	48161	7452
433	48266	7340
434	48376	7228
435	48488	7117
436	48601	7006
437	48705	6894
438	48818	6783
439	48940	6673
440	49048	6562
441	49158	6450
442	49261	6338
443	49379	6228
444	49482	6115
445	49592	6004
446	49699	5892
447	49816	5782
448	49948	5673
449	50061	5562
450	50182	5452
451	50275	5338
452	50373	5226
453	50503	5117
454	50654	5009
455	50763	4898
456	50898	4789
457	50997	4676
458	51117	4566
459	51222	4454
460	51331	4342
461	51436	4230
462	51559	4120
463	51679	4009
464	51789	3898
465	51919	3788
466	52054	3678
467	52162	3566
468	52287	3456
469	52400	3344
470	52521	3233
471	52631	3122
472	52750	3011
473	52853	2899
474	52961	2787
475	53069	2675
476	53193	2564
477	53298	2453
478	53411	2341
479	53511	2229
480	53624	2118
481	53721	2006
482	53825	1894
483	53952	1783
484	54057	1671
485	54154	1560
486	54266	1448
487	54366	1336
488	54482	1225
489	54589	1114
490	54697	1002
491	54801	891
492	54925	779
493	55038	668
494	55163	557
495	55271	445
496	55390	334
497	55507	222
498	55619	111
499	55731	0
