iter	RMSE
213	28.86092493
214	28.85593518
215	28.85005063
216	28.84057421
217	28.83689031
218	28.83136016
219	28.82513542
220	28.81931885
221	28.81489428
222	28.80858737
223	28.80294271
224	28.7970794
225	28.79224177
226	28.78914546
227	28.78243968
228	28.77758306
229	28.77244786
230	28.7679309
231	28.75781253
232	28.75272169
233	28.74782162
234	28.74293738
235	28.73542477
236	28.73089148
237	28.7235586
238	28.71819692
239	28.7131033
240	28.70916345
241	28.70294001
242	28.69664724
243	28.68935752
244	28.68181142
245	28.67750439
246	28.67334156
247	28.66693356
248	28.66271823
249	28.6601747
250	28.65187135
251	28.6484197
252	28.63950819
253	28.63359968
254	28.62792882
255	28.62504958
256	28.62134854
257	28.61039319
258	28.60634765
259	28.60064026
260	28.59705744
261	28.59039041
262	28.58747117
263	28.58215962
264	28.57565964
265	28.57252627
266	28.56954936
267	28.56624537
268	28.56134579
269	28.55656666
270	28.55218501
271	28.54694697
272	28.54483772
273	28.5390083
274	28.53660495
275	28.52884472
276	28.52415702
277	28.51889569
278	28.51597383
279	28.5105729
280	28.50657177
281	28.50287335
282	28.49817946
283	28.49404009
284	28.4898533
285	28.48663273
286	28.48315825
287	28.47958139
288	28.47427353
289	28.47043405
290	28.46530216
291	28.46293544
292	28.45757956
293	28.45489781
294	28.44879074
295	28.44633861
296	28.4416269
297	28.43930883
298	28.4357964
299	28.43325476
300	28.4296479
301	28.42501214
302	28.42161248
303	28.41805915
304	28.41570916
305	28.40429081
306	28.40181439
307	28.39609761
308	28.39106145
309	28.38766782
310	28.38474759
311	28.37953099
312	28.37225387
313	28.36704106
314	28.36389097
315	28.36207664
316	28.35616975
317	28.35157273
318	28.34628053
319	28.34141243
320	28.33526009
321	28.33167751
322	28.32811609
323	28.3249558
324	28.32231484
325	28.31832719
326	28.31582643
327	28.30953751
328	28.30523891
329	28.3014864
330	28.29646357
331	28.29426628
332	28.29187652
333	28.28910362
334	28.28651423
335	28.27850356
336	28.26824778
337	28.26621019
338	28.26330496
339	28.26022268
340	28.25660932
341	28.25221106
342	28.24813722
343	28.24546573
344	28.23823164
345	28.23611923
346	28.23196428
347	28.22842374
348	28.22432731
349	28.21904156
350	28.2121898
351	28.20926949
352	28.20726434
353	28.20310177
354	28.19988702
355	28.19793856
356	28.1932402
357	28.19094187
358	28.18918579
359	28.18542866
360	28.18203877
361	28.17802329
362	28.16995676
363	28.16638738
364	28.16138868
365	28.15858989
366	28.1544306
367	28.15264857
368	28.15025295
369	28.14563269
370	28.14046409
371	28.13648687
372	28.13232105
373	28.12891764
374	28.12683145
375	28.12360021
376	28.12094014
377	28.11809964
378	28.11288175
379	28.10569167
380	28.10067203
381	28.09646679
382	28.09228731
383	28.08665272
384	28.08274882
385	28.07907663
386	28.07499848
387	28.07164798
388	28.0690126
389	28.06554628
390	28.06175882
391	28.05822897
392	28.05527671
393	28.05171988
394	28.04059641
395	28.0346785
396	28.03027151
397	28.02731077
398	28.02441951
399	28.0225139
400	28.01807916
401	28.01485943
402	28.00777253
403	28.00443324
404	28.00139312
405	27.99398023
406	27.99107593
407	27.98781477
408	27.98387235
409	27.98225394
410	27.9785137
411	27.97612086
412	27.97492392
413	27.97269063
414	27.97037124
415	27.9663463
416	27.96218213
417	27.95781341
418	27.95624366
419	27.94886969
420	27.94652804
421	27.9437467
422	27.93977716
423	27.93687721
424	27.93217693
425	27.93055
426	27.92723238
427	27.92425543
428	27.92290113
429	27.92064888
430	27.91917227
431	27.91428551
432	27.91094187
433	27.90923552
434	27.90717497
435	27.9022436
436	27.90056645
437	27.89813112
438	27.89408226
439	27.89212072
440	27.88918977
441	27.88610525
442	27.88347878
443	27.88174321
444	27.87961767
445	27.87692932
446	27.87428474
447	27.87131311
448	27.86804985
449	27.86651423
450	27.86399808
451	27.86158248
452	27.85954913
453	27.85792985
454	27.85511367
455	27.85085661
456	27.84392706
457	27.84197512
458	27.83544423
459	27.83326505
460	27.8310411
461	27.82919097
462	27.82698718
463	27.82342626
464	27.81902938
465	27.81636305
466	27.81334223
467	27.81095428
468	27.80863612
469	27.80252049
470	27.80095123
471	27.79832373
472	27.79564171
473	27.79373968
474	27.78745582
475	27.78399512
476	27.78151041
477	27.77727262
478	27.77495889
479	27.77347745
480	27.77149712
481	27.76842472
482	27.76719089
483	27.76454531
484	27.76328716
485	27.76115087
486	27.75866058
487	27.75540182
488	27.75212904
489	27.74977152
490	27.74811056
491	27.74551191
492	27.74167432
493	27.73939454
494	27.73703334
495	27.73514477
496	27.73044074
497	27.72858136
498	27.72606969
499	27.72414424
